epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.282,1.81976,1.47609,1.12361,0.78553,0.71923,0.79469,0.45616,1.52145,0.85949,1.04296,0.000665052,0.000665052,0.000665052
2,192.804,1.57475,0.83049,1.0353,0.81029,0.72681,0.80708,0.46729,1.54047,0.81076,1.05963,0.0012658,0.0012658,0.0012658
3,276.605,1.53497,0.7952,1.02,0.83733,0.74632,0.8355,0.50027,1.44817,0.77258,1.0225,0.00180055,0.00180055,0.00180055
4,359.281,1.50843,0.77443,1.01526,0.85657,0.77067,0.8551,0.51413,1.43322,0.74005,1.01535,0.001703,0.001703,0.001703
5,442.313,1.48465,0.75166,1.00531,0.84894,0.76784,0.84887,0.51419,1.41972,0.72331,1.01677,0.001604,0.001604,0.001604
6,524.809,1.47292,0.73674,0.99954,0.8643,0.78916,0.8686,0.52971,1.40503,0.69586,1.00585,0.001505,0.001505,0.001505
7,607.792,1.45327,0.72157,0.99423,0.85981,0.79309,0.86897,0.53137,1.39285,0.69499,1.00173,0.001406,0.001406,0.001406
8,691.143,1.44263,0.70922,0.99019,0.86647,0.7943,0.87326,0.53525,1.39145,0.68141,1.0027,0.001307,0.001307,0.001307
9,773.972,1.43031,0.70015,0.98769,0.8611,0.7954,0.87245,0.53791,1.3814,0.67415,0.9955,0.001208,0.001208,0.001208
10,856.869,1.42663,0.69306,0.98368,0.87677,0.80068,0.88023,0.54681,1.36614,0.66142,0.99146,0.001109,0.001109,0.001109
