epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6077,1.39009,2.75681,1.07472,0.01712,0.32467,0.06574,0.02827,1.30558,3.58854,0.96824,0.00040625,0.00040625,0.00040625
2,24.973,1.26933,1.30139,1.01834,0.69729,0.18005,0.23239,0.11041,1.41855,2.66177,1.00119,0.000782182,0.000782182,0.000782182
3,30.4652,1.25609,1.14453,1.00723,0.90893,0.27245,0.3296,0.19434,1.27632,1.34115,0.98832,0.00111686,0.00111686,0.00111686
4,35.9161,1.22322,1.06481,0.9915,0.70181,0.34362,0.38658,0.23494,1.13103,1.03664,0.96496,0.00106437,0.00106437,0.00106437
5,41.4228,1.17775,1.01429,0.97705,0.58245,0.44327,0.50374,0.31251,1.04859,0.89665,0.95795,0.0010025,0.0010025,0.0010025
6,46.8427,1.18211,0.97776,0.99219,0.53858,0.5734,0.59539,0.3752,0.98806,0.80119,0.9413,0.000940625,0.000940625,0.000940625
7,52.2785,1.14802,0.91385,0.98371,0.62524,0.67933,0.65792,0.41632,1.00686,0.7715,0.9517,0.00087875,0.00087875,0.00087875
8,57.6839,1.11234,0.85076,0.96435,0.68391,0.71089,0.71469,0.45341,0.99699,0.7286,0.93886,0.000816875,0.000816875,0.000816875
9,63.1822,1.0994,0.81928,0.96714,0.75489,0.76324,0.7767,0.49538,1.02029,0.69219,0.93875,0.000755,0.000755,0.000755
10,68.6606,1.08973,0.79868,0.95993,0.80528,0.70293,0.78272,0.50795,0.99212,0.70319,0.94134,0.000693125,0.000693125,0.000693125
11,74.6841,1.02536,0.77166,0.94657,0.80937,0.70555,0.79389,0.51647,1.00312,0.73025,0.93866,0.00063125,0.00063125,0.00063125
12,79.9981,0.99637,0.72433,0.94312,0.84949,0.7542,0.83175,0.52358,1.02792,0.67381,0.93376,0.000569375,0.000569375,0.000569375
13,85.2634,0.98509,0.69588,0.93825,0.83196,0.80479,0.8593,0.56398,0.94592,0.62215,0.92771,0.0005075,0.0005075,0.0005075
14,90.5208,0.9725,0.6694,0.93049,0.88207,0.80854,0.86932,0.57125,0.96844,0.60154,0.92536,0.000445625,0.000445625,0.000445625
15,95.7976,0.93143,0.63699,0.92085,0.8716,0.84094,0.86874,0.58099,0.92123,0.57901,0.91815,0.00038375,0.00038375,0.00038375
16,101.01,0.93208,0.62814,0.91429,0.81999,0.84954,0.86295,0.57589,0.9459,0.58424,0.92089,0.000321875,0.000321875,0.000321875
17,106.15,0.95169,0.63054,0.92,0.89829,0.8309,0.8826,0.58194,0.93109,0.56659,0.91497,0.00026,0.00026,0.00026
18,111.395,0.92667,0.60642,0.91434,0.89643,0.83071,0.89326,0.60476,0.9101,0.54905,0.90943,0.000198125,0.000198125,0.000198125
19,116.599,0.9169,0.60095,0.91162,0.88628,0.85491,0.89784,0.60802,0.8912,0.53507,0.90632,0.00013625,0.00013625,0.00013625
20,121.793,0.8887,0.57898,0.90328,0.88482,0.85856,0.90181,0.60873,0.89856,0.53695,0.90653,7.4375e-05,7.4375e-05,7.4375e-05
