epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.4692,0.06544,1,1,0.00017,0.000554291,0.000554291,0.000554291
2,71.276,5e-05,1,1,3e-05,0.00105502,0.00105502,0.00105502
3,104.498,2e-05,1,1,2e-05,0.00150073,0.00150073,0.00150073
4,137.845,1e-05,1,1,1e-05,0.00141945,0.00141945,0.00141945
5,171.847,0,1,1,0,0.00133693,0.00133693,0.00133693
6,205.116,0,1,1,0,0.00125442,0.00125442,0.00125442
7,239.314,0,1,1,0,0.0011719,0.0011719,0.0011719
8,273.499,0,1,1,0,0.00108938,0.00108938,0.00108938
9,307.914,0,1,1,0,0.00100687,0.00100687,0.00100687
10,343.654,nan,0,1,nan,0.000924352,0.000924352,0.000924352
11,380.96,nan,0,1,nan,0.000841835,0.000841835,0.000841835
12,417.355,nan,0,1,nan,0.000759318,0.000759318,0.000759318
