epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1436,1.29429,3.17415,1.45444,0.37554,0.38082,0.35147,0.1808,1.43185,2.68109,1.54712,0.000475154,0.000475154,0.000475154
2,102.167,1.37718,2.21758,1.47738,0.51915,0.44105,0.44284,0.24992,1.52108,2.25124,1.62681,0.000904389,0.000904389,0.000904389
3,146.618,1.38271,1.87495,1.47458,0.5654,0.43793,0.43687,0.26071,1.53234,2.25364,1.66669,0.00128647,0.00128647,0.00128647
4,190.756,1.34389,1.71666,1.4526,0.69146,0.56833,0.61912,0.37342,1.43689,1.94338,1.5079,0.00121679,0.00121679,0.00121679
5,234.836,1.25309,1.50365,1.38805,0.72657,0.79718,0.84051,0.56018,1.108,1.0393,1.28757,0.00114606,0.00114606,0.00114606
6,278.715,1.21239,1.39366,1.35429,0.74267,0.70069,0.7666,0.5227,1.16819,1.25036,1.33044,0.00107532,0.00107532,0.00107532
7,322.508,1.16082,1.28745,1.32637,0.78674,0.76768,0.85553,0.58823,1.04199,0.95065,1.22277,0.00100459,0.00100459,0.00100459
8,366.38,1.12273,1.19181,1.29264,0.79222,0.80567,0.85283,0.60353,1.06958,0.97303,1.24834,0.000933851,0.000933851,0.000933851
9,410.195,1.08219,1.11246,1.27297,0.82124,0.85913,0.89315,0.64706,1.02325,0.83031,1.18522,0.000863116,0.000863116,0.000863116
10,454.107,1.05638,1.06679,1.25192,0.88856,0.8231,0.90497,0.66873,0.95921,0.78423,1.14905,0.00079238,0.00079238,0.00079238
11,498.404,0.93965,0.75511,1.20773,0.92952,0.8099,0.89444,0.66205,0.99545,0.79483,1.19376,0.000721645,0.000721645,0.000721645
12,542.084,0.91745,0.72098,1.18196,0.92599,0.86033,0.92681,0.70163,0.93007,0.68129,1.12589,0.000650909,0.000650909,0.000650909
13,585.659,0.87288,0.65568,1.1578,0.90408,0.85967,0.92621,0.69847,0.9396,0.72034,1.14229,0.000580174,0.000580174,0.000580174
14,629.079,0.84468,0.60222,1.13249,0.92736,0.88346,0.93039,0.70831,0.91253,0.63066,1.12414,0.000509438,0.000509438,0.000509438
15,672.635,0.8009,0.5572,1.11232,0.91614,0.90701,0.93916,0.72226,0.90328,0.60464,1.11707,0.000438703,0.000438703,0.000438703
16,716.147,0.77268,0.51762,1.08943,0.91759,0.91671,0.92965,0.72832,0.86036,0.57788,1.08343,0.000367967,0.000367967,0.000367967
17,759.633,0.73634,0.47448,1.07254,0.93006,0.91504,0.94809,0.74763,0.85838,0.54834,1.07793,0.000297232,0.000297232,0.000297232
18,803.141,0.71199,0.45209,1.04813,0.94079,0.92415,0.95316,0.7536,0.86553,0.52236,1.07879,0.000226497,0.000226497,0.000226497
19,846.691,0.68138,0.42217,1.02816,0.93421,0.9249,0.95571,0.76074,0.83441,0.50318,1.06173,0.000155761,0.000155761,0.000155761
20,890.294,0.65893,0.40609,1.02302,0.95044,0.92295,0.95322,0.76808,0.83153,0.4905,1.06085,8.50255e-05,8.50255e-05,8.50255e-05
