epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0065,1.7926,3.56566,2.18124,0.0038,1,0.04698,0.0209,1.94227,3.3051,2.94178,5.716e-05,5.716e-05,5.716e-05
2,17.1013,1.6655,3.50611,2.11135,0.00467,1,0.07916,0.03493,1.62662,3.27586,2.43485,0.000122244,0.000122244,0.000122244
3,18.1535,1.50251,3.35058,1.77756,0.00617,1,0.13241,0.05639,1.36887,3.2187,1.97915,0.000180254,0.000180254,0.000180254
4,19.0407,1.34117,3.28618,1.68377,0.00695,1,0.27972,0.10899,1.30823,3.15316,1.90523,0.000231191,0.000231191,0.000231191
5,19.9449,1.40267,3.11965,1.62003,0.00882,1,0.2689,0.15345,1.26893,3.10006,1.8381,0.000275054,0.000275054,0.000275054
6,20.7563,1.43922,3.11018,1.71514,0.00852,1,0.25244,0.14893,1.17597,3.08663,1.75936,0.000311844,0.000311844,0.000311844
7,21.5324,1.35146,3.11571,1.66889,0.00713,1,0.50891,0.2808,1.18856,3.0783,1.70122,0.00034156,0.00034156,0.00034156
8,22.3749,1.36482,2.82316,1.57862,0.00596,1,0.41741,0.23564,1.11934,3.01295,1.69627,0.000364202,0.000364202,0.000364202
9,23.147,1.38758,2.95294,1.6885,0.00548,1,0.46906,0.26667,1.2921,2.89701,2.02955,0.000379771,0.000379771,0.000379771
10,23.8927,1.32929,2.65431,1.66513,0.00555,1,0.37219,0.22172,1.31315,2.82822,2.10285,0.000388266,0.000388266,0.000388266
11,26.0848,1.15618,2.76491,1.66711,1,0.08646,0.5029,0.31715,1.27321,2.72925,1.93093,0.000389688,0.000389688,0.000389688
12,27.0745,1.17234,2.82632,1.65933,1,0.0861,0.66728,0.42261,1.11993,2.58989,1.73404,0.000384037,0.000384037,0.000384037
13,27.9113,1.1516,2.54381,1.61596,1,0.08949,0.72385,0.46018,1.16764,2.51785,1.70057,0.000371311,0.000371311,0.000371311
14,28.7278,1.08693,2.62379,1.6651,1,0.24289,0.75401,0.46783,1.19235,2.46908,1.68154,0.000351513,0.000351513,0.000351513
15,29.5303,1.07979,2.556,1.63591,1,0.29264,0.73004,0.46662,1.3468,2.36497,1.78781,0.00032464,0.00032464,0.00032464
16,30.3097,1.03641,2.38003,1.53867,1,0.29866,0.66367,0.42412,1.33133,2.28494,1.80941,0.000290694,0.000290694,0.000290694
17,31.0901,1.12672,2.23845,1.56755,0.85609,0.4885,0.77348,0.48105,1.38193,2.17045,1.81683,0.000249675,0.000249675,0.000249675
18,32.0043,0.96171,2.12884,1.48147,0.8793,0.66143,0.83711,0.52281,1.3174,2.08633,1.77228,0.000201582,0.000201582,0.000201582
19,32.924,0.9832,2.09336,1.48288,0.94458,0.66419,0.84348,0.53574,1.31371,2.01312,1.76189,0.000146415,0.000146415,0.000146415
20,33.8566,0.97146,2.22575,1.51956,0.80939,0.83333,0.80611,0.52199,1.28424,1.88287,1.74524,8.41752e-05,8.41752e-05,8.41752e-05
