epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.806,0,0,12.506,0,0,0,0,0,0,0,0,0,0,0,17.1147,0,0.000414973,0.000414973,0.000414973
2,226.589,0,0,5.30531,0,0,0,0,0,0,0,0,0,0,0,4.00652,0,0.000790473,0.000790473,0.000790473
3,321.936,0,0,0.94429,0,0,0,0,0,0,0,0,0,0,0,0.47086,0,0.00112472,0.00112472,0.00112472
4,421.386,0,0,0.07703,0,0,0,0,0,0,0,0,0,0,0,0.04738,0,0.00106437,0.00106437,0.00106437
5,518.152,0,0,0.01139,0,0,0,0,0,0,0,0,0,0,0,0.02359,0,0.0010025,0.0010025,0.0010025
6,616.06,0,0,0.00464,0,0,0,0,0,0,0,0,0,0,0,0.00956,0,0.000940625,0.000940625,0.000940625
7,716.429,0,0,0.00185,0,0,0,0,0,0,0,0,0,0,0,0.00722,0,0.00087875,0.00087875,0.00087875
8,833.209,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0.00605,0,0.000816875,0.000816875,0.000816875
9,937.788,0,0,0.00149,0,0,0,0,0,0,0,0,0,0,0,0.00538,0,0.000755,0.000755,0.000755
10,1042.32,0,0,0.00149,0,0,0,0,0,0,0,0,0,0,0,0.00481,0,0.000693125,0.000693125,0.000693125
11,1146,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0.00424,0,0.00063125,0.00063125,0.00063125
12,1246.32,0,0,0.00089,0,0,0,0,0,0,0,0,0,0,0,0.00359,0,0.000569375,0.000569375,0.000569375
13,1343.77,0,0,0.00044,0,0,0,0,0,0,0,0,0,0,0,0.00309,0,0.0005075,0.0005075,0.0005075
14,1447.04,0,0,0.00027,0,0,0,0,0,0,0,0,0,0,0,0.00276,0,0.000445625,0.000445625,0.000445625
15,1537.05,0,0,9e-05,0,0,0,0,0,0,0,0,0,0,0,0.00246,0,0.00038375,0.00038375,0.00038375
16,1626.15,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0.00233,0,0.000321875,0.000321875,0.000321875
17,1715.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217,0,0.00026,0.00026,0.00026
18,1810.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205,0,0.000198125,0.000198125,0.000198125
19,1907.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00199,0,0.00013625,0.00013625,0.00013625
20,1995.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197,0,7.4375e-05,7.4375e-05,7.4375e-05
