epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.3511,1.24848,1.56746,1.12201,0.93926,0.86014,0.91463,0.56252,1.25247,0.98027,1.18354,0.000665158,0.000665158,0.000665158
2,137.294,1.2613,0.87053,1.1438,0.91462,0.83189,0.89376,0.56792,1.2636,0.90648,1.18247,0.00124392,0.00124392,0.00124392
3,190.117,1.24787,0.76664,1.14547,0.94585,0.88656,0.93267,0.58349,1.24711,0.7379,1.14549,0.00173469,0.00173469,0.00173469
4,241.96,1.22594,0.72677,1.13117,0.8782,0.8861,0.91006,0.58682,1.26071,0.69853,1.15039,0.001604,0.001604,0.001604
5,293.9,1.19315,0.66708,1.11371,0.94409,0.89795,0.94037,0.62676,1.19535,0.61641,1.14723,0.001472,0.001472,0.001472
6,346.816,1.18484,0.61846,1.13608,0.94187,0.89021,0.93757,0.61354,1.22051,0.6256,1.13364,0.00134,0.00134,0.00134
7,398.283,1.16824,0.60037,1.12779,0.9571,0.90455,0.94268,0.63821,1.15876,0.60215,1.10719,0.001208,0.001208,0.001208
8,449.811,1.1514,0.56548,1.11782,0.96649,0.91572,0.95507,0.6519,1.14474,0.5606,1.10367,0.001076,0.001076,0.001076
9,501.559,1.13075,0.54699,1.10603,0.97909,0.90478,0.95277,0.65109,1.15468,0.55202,1.10507,0.000944,0.000944,0.000944
10,553.1,1.12016,0.52602,1.10126,0.97932,0.92301,0.96042,0.66319,1.14105,0.50878,1.09957,0.000812,0.000812,0.000812
11,604.665,1.10044,0.50714,1.08637,0.97938,0.92392,0.96054,0.67321,1.13029,0.50085,1.08135,0.00068,0.00068,0.00068
12,656.373,1.08816,0.49242,1.07235,0.97554,0.93257,0.96302,0.67081,1.1131,0.49132,1.07476,0.000548,0.000548,0.000548
13,707.848,1.07216,0.46801,1.06817,0.97754,0.932,0.96546,0.68869,1.09796,0.47688,1.0642,0.000416,0.000416,0.000416
14,759.311,1.05702,0.44923,1.05859,0.98531,0.93166,0.96707,0.68546,1.091,0.45659,1.05532,0.000284,0.000284,0.000284
15,810.797,1.04568,0.43309,1.05045,0.98431,0.93349,0.9684,0.69458,1.07448,0.43449,1.04965,0.000152,0.000152,0.000152
