Flight_ID,Date,Month,Day_of_Week,Departure_City,Arrival_City,Route_Type,Aircraft_Type,Flight_Duration_Minutes,Passengers,Seat_Capacity,Load_Factor_%,Ticket_Price_USD,Delay_Minutes,Delay_Category,On_Time_Status,Weather_Condition,Fuel_Consumption,CO2_Emissions,Customer_Rating,Customer_Feedback
PK2026_0001,2026-06-09,June,Tuesday,Jeddah,Islamabad,International,Airbus A320,83.0,120,180,66.67,1140.0,220,Severe,Delayed,Clear,6265l,15662.5kg,4.1,Dreadful customer support
PK2026_0002,2026-08-12,August,Wednesday,Dubai,Kuala Lumpur,International,Airbus A320,284.0,179,180,99.44,773.0,27,Minor,Delayed,,3516l,8790.0kg,3.6,"Standard flight, nothing special"
PK2026_0003,2026-04-20,April,Monday,Doha,Lahore,International,ATR 72,333.0,69,70,98.57,155.0,176,Severe,Delayed,Fog,13538l,33845.0kg,3.0,Tardy arrival but very cozy
PK2026_0004,2026-12-07,December,Monday,Jeddah,Lahore,International,Boeing 777,330.0,291,350,83.14,1237.0,87,Moderate,Delayed,,18850l,47125.0kg,,Mediocre experience overall
PK2026_0005,2026-05-04,May,Monday,Lahore,Doha,International,Boeing 737,283.0,159,160,99.38,141.0,82,Moderate,Delayed,,13474l,33685.0kg,3.0,Behind schedule but quite relaxed
PK2026_0006,2026-01-12,January,Monday,Lahore,Dubai,International,Airbus A320,433.0,172,180,95.56,911.0,192,Severe,Delayed,Clear,5207l,13017.5kg,4.1,It was an okay journey
PK2026_0007,2026-08-01,August,Saturday,Jeddah,Dubai,International,Boeing 737,198.0,158,160,98.75,1398.0,163,Severe,Delayed,Rain,9342l,23355.0kg,4.2,Really enjoyed the trip
PK2026_0008,2026-09-11,September,Friday,Doha,London,International,Boeing 777,112.0,299,350,85.43,1069.0,133,Severe,Delayed,Rain,3070l,7675.0kg,4.9,Top-notch professional staff
PK2026_0009,2026-11-25,November,Wednesday,Lahore,London,International,Boeing 737,468.0,83,160,51.88,573.0,119,Moderate,Delayed,Fog,4465l,11162.5kg,3.2,Outstanding care from the crew
PK2026_0010,2026-07-15,July,Wednesday,Islamabad,Dubai,International,ATR 72,420.0,56,70,80.0,1494.0,64,Moderate,Delayed,Clear,14649l,36622.5kg,,Seamless travel from start to finish
